rank,username,totalM,content,created_at,date,time,display_name,favourites_count,followers_count,following_count,reblogs_count,replies_count,sensitive,sentiment,url,class
10,flowless,17,<p>i sometimes forget that Laos had more bombs deployed on it by the USA than all the bombs ever used in the entire theatre of World War 2</p>,2023-05-09 13:37:27+00:00,2023-05-09,3:37:27,Juan Azul Grande Fantasia,0,245,226,0,0,False,negative,https://nitecrew.rip/@flowless/110338994814556526,mastodon
10,flowless,17,<p>its wild how simple it is to read some theory and come to a reasonable conclusion that western imperialism is extremely evil. the actions of the capitalist empires is very clear and not hidden in any way. you kinda might need help seeing their motivations if you are kind of naive but its all there</p>,2023-05-09 13:23:40+00:00,2023-05-09,3:23:40,Juan Azul Grande Fantasia,0,244,225,0,0,False,negative,https://nitecrew.rip/@flowless/110338940634210450,mastodon
10,flowless,17,<p>horrific depiction of mutilation of a dead body and flippant girlboss behavior</p>,2023-05-09 13:44:29+00:00,2023-05-09,3:44:29,Juan Azul Grande Fantasia,0,245,226,0,0,True,negative,https://nitecrew.rip/@flowless/110339022499582511,mastodon
10,flowless,17,<p>every day i log on here and yell at people to read a book</p>,2023-05-09 13:45:34+00:00,2023-05-09,3:45:34,Juan Azul Grande Fantasia,0,245,226,0,0,False,negative,https://nitecrew.rip/@flowless/110339026722754299,mastodon
10,flowless,17,"<p>even if you dont like lenin or communists, i think his works have a lot of value just on the premise that everything he has been saying has happened</p>",2023-05-09 13:46:42+00:00,2023-05-09,3:46:42,Juan Azul Grande Fantasia,0,245,226,0,0,False,positive,https://nitecrew.rip/@flowless/110339031202402054,mastodon
10,flowless,17,<p>i sometimes forget that Laos had more bombs deployed on it by the USA than all the bombs ever used in the entire theatre of World War 2</p>,2023-05-09 13:37:27+00:00,2023-05-09,3:37:27,Juan Azul Grande Fantasia,0,244,225,0,0,False,negative,https://nitecrew.rip/@flowless/110338994814556526,mastodon
10,flowless,17,"<p>also if you dont like workers (communists) then im gonna kick you in the nuts, but thats an aside</p>",2023-05-09 13:47:37+00:00,2023-05-09,3:47:37,Juan Azul Grande Fantasia,0,245,226,0,0,False,negative,https://nitecrew.rip/@flowless/110339034827842128,mastodon
10,flowless,17,"<p>even if you dont like lenin or communists, i think his works have a lot of value just on the premise that everything he has been saying has happened</p>",2023-05-09 13:46:42+00:00,2023-05-09,3:46:42,Juan Azul Grande Fantasia,0,244,225,0,0,False,positive,https://nitecrew.rip/@flowless/110339031202402054,mastodon
10,flowless,17,"<p>The Clintons are remembered fondly as the ""good"" democrats but they were bloody butchers and Nato was their machete</p>",2023-05-09 13:52:19+00:00,2023-05-09,3:52:19,Juan Azul Grande Fantasia,0,245,226,0,0,False,negative,https://nitecrew.rip/@flowless/110339053317903722,mastodon
10,flowless,17,"<p>every year the capitalist propaganda gets weaker and weaker but not because you are getting wiser, but rather, the capitalists know they dont have to hide shit more and more</p>",2023-05-09 13:57:56+00:00,2023-05-09,3:57:56,Juan Azul Grande Fantasia,0,245,226,0,0,False,negative,https://nitecrew.rip/@flowless/110339075353325721,mastodon
