rank,author_id,text,created_at,date,time,author_name,url,sentiment,class
top1,cnexnews@mas.to,"<p>Axios</p><p>Surging international travel demand has created a backlog of passport applications with increased processing times of up to three months not counting shipping time, the State Department has warned.</p><p><a href=""https://trib.al/Q6hCYa7"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">trib.al/Q6hCYa7</span><span class=""invisible""></span></a></p>",2023-05-01 03:51:02+00:00,2023-05-01,3:51:02+,CnexNews,https://mas.to/@cnexnews/110291390451976320,negative,mastodon
top1,cnexnews@mas.to,"<p>AP</p><p>Two weeks of fighting has turned Sudan's capital into a war zone.  International mediators — including African and Arab nations, the U.N. and the U.S. — are intensifying their pressure on the rival generals to enter talks on resolving the crisis.</p><p><a href=""https://bit.ly/3oSRIPF"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">bit.ly/3oSRIPF</span><span class=""invisible""></span></a></p>",2023-05-01 04:00:03+00:00,2023-05-01,4:00:03+,CnexNews,https://mas.to/@cnexnews/110291425898490830,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>South Korea exports suffer longest losing streak in three years, China sales tumble</p><p><a href=""http://reut.rs/3ViR5uG"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/3ViR5uG</span><span class=""invisible""></span></a></p>",2023-05-01 04:18:02+00:00,2023-05-01,4:18:02+,CnexNews,https://mas.to/@cnexnews/110291496610693634,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Manila airport cancels 40 domestic flights after power outage</p><p><a href=""http://reut.rs/42eYrSv"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/42eYrSv</span><span class=""invisible""></span></a></p>",2023-05-01 04:33:02+00:00,2023-05-01,4:33:02+,CnexNews,https://mas.to/@cnexnews/110291555590657512,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Islamic State leader killed in Syria by Turkish intelligence services, Erdogan says</p><p><a href=""http://reut.rs/3NqpS7q"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/3NqpS7q</span><span class=""invisible""></span></a></p>",2023-05-01 04:36:02+00:00,2023-05-01,4:36:02+,CnexNews,https://mas.to/@cnexnews/110291567385007763,negative,mastodon
top1,cnexnews@mas.to,"<p>AP</p><p>Hundreds of thousands of students enroll at community colleges hoping to transfer later to universities. Many are derailed by credit loss — when classes they took won’t count toward a degree.</p><p><a href=""https://apnews.com/article/bachelor-degree-community-college-transfer-credits-cec0154f260c130fbbfcb593de77e4da"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">apnews.com/article/bachelor-de</span><span class=""invisible"">gree-community-college-transfer-credits-cec0154f260c130fbbfcb593de77e4da</span></a></p>",2023-05-01 04:42:03+00:00,2023-05-01,4:42:03+,CnexNews,https://mas.to/@cnexnews/110291591054196071,negative,mastodon
top1,cnexnews@mas.to,"<p>Reuters</p><p>Oil prices dip on U.S. rate hike expectations, weak China PMI</p><p><a href=""http://reut.rs/3LIeUsP"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">http://</span><span class="""">reut.rs/3LIeUsP</span><span class=""invisible""></span></a></p>",2023-05-01 04:57:02+00:00,2023-05-01,4:57:02+,CnexNews,https://mas.to/@cnexnews/110291649998009368,negative,mastodon
top1,cnexnews@mas.to,"<p>AP</p><p>“I am trying to be strong for my children."" Wilson Garcia describes how a gunman armed with an AR-15 style rifle opened fire at his home, killing five people. The suspect has still not been caught.</p><p><a href=""https://apnews.com/article/cleveland-texas-shooting-vigil-suspect-missing-8fce1ef4c0cdb8581f8820d1f1f917f2"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class=""ellipsis"">apnews.com/article/cleveland-t</span><span class=""invisible"">exas-shooting-vigil-suspect-missing-8fce1ef4c0cdb8581f8820d1f1f917f2</span></a></p>",2023-05-01 05:09:02+00:00,2023-05-01,5:09:02+,CnexNews,https://mas.to/@cnexnews/110291697187360676,negative,mastodon
top1,cnexnews@mas.to,"<p>Axios</p><p>The White House rarely puts Biden in improvisational settings — or in front of hostile questions from reporters. So it's tough for anyone outside his tight bubble to truly appraise the reality of Biden being the oldest president in U.S. history.</p><p><a href=""https://trib.al/68ibuQc"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">trib.al/68ibuQc</span><span class=""invisible""></span></a></p>",2023-05-01 05:09:02+00:00,2023-05-01,5:09:02+,CnexNews,https://mas.to/@cnexnews/110291697171324269,negative,mastodon
top1,cnexnews@mas.to,"<p>Axios</p><p>Chicago mayor urges Texas governor to stop ""inhumane and dangerous"" busing of migrants</p><p><a href=""https://trib.al/obY5dCL"" rel=""nofollow noopener noreferrer"" target=""_blank""><span class=""invisible"">https://</span><span class="""">trib.al/obY5dCL</span><span class=""invisible""></span></a></p>",2023-05-01 05:12:02+00:00,2023-05-01,5:12:02+,CnexNews,https://mas.to/@cnexnews/110291708999250100,negative,mastodon
